,t,Flux,Flux_error
0,1491.6370903335012,107990.48,38.416878
1,1491.6384792599963,107816.57,38.40083
2,1491.6398681864905,107849.91,38.39923
3,1491.6412571125186,107706.805,38.385704
4,1491.6426460390137,107816.59,38.40558
5,1491.6440349655086,107841.35,38.38632
6,1491.6454238915364,107738.01,38.381737
7,1491.6468128180309,107719.37,38.35327
8,1491.6482017445257,107626.12,38.35317
9,1491.6495906710202,107728.586,38.347656
10,1491.650979597049,107833.43,38.386185
11,1491.6523685235431,107790.66,38.37401
12,1491.653757450037,107726.76,38.354256
13,1491.655146376066,107719.836,38.35668
14,1491.656535302561,107718.45,38.35543
15,1491.6579242290547,107671.87,38.338303
16,1491.6593131550833,107749.55,38.36489
17,1491.6607020815784,107770.24,38.347225
18,1491.6620910080726,107829.5,38.358925
19,1491.6634799341014,107807.4,38.35425
20,1491.6648688605958,107727.555,38.332695
21,1491.66625778709,107926.89,38.39397
22,1491.6676467131194,107885.67,38.362827
23,1491.6690356396136,107788.32,38.352924
24,1491.6704245661074,107825.0,38.354393
25,1491.6718134921366,107804.65,38.349773
26,1491.6732024186317,107826.1,38.343426
27,1491.6745913451252,107792.82,38.34166
28,1491.675980271154,107800.484,38.342056
29,1491.6773691976484,107873.08,38.355694
30,1491.678758123677,107953.34,38.359436
31,1491.680147050172,107824.414,38.349
32,1491.6815359766663,107863.84,38.32108
33,1491.6829249026944,107867.195,38.341496
34,1491.6843138291893,107856.91,38.33399
35,1491.6857027552185,107856.305,38.34072
36,1491.6870916817122,107710.09,38.311275
37,1491.6884806082064,107774.625,38.32354
38,1491.6898695342359,107871.4,38.328274
39,1491.69125846073,107692.17,38.298557
40,1491.6926473867588,107723.69,38.307957
41,1491.6940363132533,107811.68,38.319595
42,1491.6954252392818,107889.266,38.32548
43,1491.696814165777,107785.8,38.31571
44,1491.6982030918055,107748.516,38.29904
45,1491.6995920182992,107785.414,38.315002
46,1491.7009809443277,107853.02,38.307804
47,1491.7023698708228,107664.07,38.288177
48,1491.703758797317,107893.2,38.310757
49,1491.7051477233456,107717.94,38.309856
50,1491.70653664984,107642.1,38.28153
51,1491.7079255758688,107709.336,38.280563
52,1491.7093145023637,107679.01,38.279366
53,1491.7107034283924,107776.85,38.286785
54,1491.712092354886,107757.336,38.29521
55,1491.7134812809152,107741.26,38.288647
56,1491.7148702069446,107758.31,38.283195
57,1491.7162591334388,107719.45,38.282467
58,1491.7176480594676,107755.984,38.291374
59,1491.719036985961,107820.27,38.29101
60,1491.7204259119906,107704.586,38.271595
61,1491.7218148384857,107768.56,38.275307
62,1491.7232037645135,107742.07,38.280014
63,1491.724592691008,107831.836,38.285637
64,1491.7259816170372,107760.25,38.2693
65,1491.7273705435316,107905.016,38.282074
66,1491.7287594695601,107769.87,38.264328
67,1491.7301483955887,107977.375,38.281124
68,1491.731537322083,107791.94,38.26325
69,1491.7329262481123,107844.85,38.288822
70,1491.7343151746068,107926.15,38.28468
71,1491.7357041006346,108078.46,38.31424
72,1491.737093026664,107971.99,38.28811
73,1491.7384819531592,108063.43,38.312515
