,x,y
0,1895.528174219522,48395.27219507474
1,1895.548606638491,48470.33132359493
2,1895.5690388574585,48568.2727164816
3,1895.5894711754881,48639.728641244874
4,1895.6099035930602,48730.31571633552
5,1895.6303358101577,48805.81343536227
6,1895.6507681267976,48912.41141686218
7,1895.671200542507,49009.15809267605
8,1895.6916327577492,49117.21013181911
9,1895.7120650729848,49236.65711816634
10,1895.7324974868316,49213.97708725071
11,1895.7529297006695,49282.021886703165
12,1895.7733621140505,49358.723080051524
13,1895.7937944264995,49434.285304799676
14,1895.814226638482,49522.53867023213
15,1895.8346590499932,49525.01712201624
16,1895.8550913610452,49535.98308454137
17,1895.8755236711586,49481.19120381502
18,1895.8959559812793,49451.45532218102
19,1895.9163882904686,49433.87686239188
20,1895.9368206991858,49418.67574618709
21,1895.9572530074438,49387.51903648187
22,1895.9776852147697,49385.346274099036
23,1895.99811762209,49341.57649006119
24,1896.0185499284853,49268.39333022185
25,1896.0389821344143,49277.84919415544
26,1896.0594145398718,49275.90356706543
27,1896.0798468444045,49249.73702334779
28,1896.1002790489365,48994.304354398315
29,1896.1207114525314,48458.08475216104
30,1896.1411437556671,47835.22960530517
31,1896.1615760583372,47046.148141671816
32,1896.1820083605344,46407.30522417293
33,1896.2024405618067,46023.20363894859
34,1896.2228729630806,46278.42061203357
35,1896.243305263415,46861.308629722545
36,1896.2637374632905,47555.66964517727
37,1896.284169862236,48210.05146686228
38,1896.3046021611735,48753.74618856333
39,1896.325034459187,49180.05210009657
40,1896.3454667572005,49270.005382989184
41,1896.3658990542754,49345.69376951575
42,1896.3863314508926,49324.56839358105
43,1896.406763646577,49354.62002214899
44,1896.427195942255,49267.15143680904
45,1896.4476283370095,49339.82871537523
46,1896.4680606312904,49350.7701831852
47,1896.4884928251122,49371.337158586044
48,1896.5089252184698,49376.95975569986
49,1896.529357511361,49354.9646488085
50,1896.5497897033129,49413.23287248426
51,1896.5702220948078,49441.741493565845
52,1896.590654385829,49444.50569564904
53,1896.6110865763912,49439.64240994647
54,1896.6315189664892,49403.83228404544
55,1896.6519512556551,49312.528002764
56,1896.6723836448145,49249.14544757725
57,1896.6928158330484,49141.3172714268
58,1896.71324812081,49080.32390446307
59,1896.733680508114,49008.41466002496
60,1896.7541126944852,48934.815415579375
61,1896.7745449808572,48848.8942756146
62,1896.7949773662913,48726.03049173851
63,1896.8154095512655,48655.42883985351
64,1896.8358418357675,48586.20944486269
65,1896.8562741198111,48514.52919008772
66,1896.876706403389,48504.910612251115
67,1896.8971386860358,48375.8661379563
68,1896.9175709682095,48063.81511937677
69,1896.9380032503905,45743.88635484238
70,1896.9584355311672,41005.14524711741
71,1896.9788678119512,34609.19650148897
72,1896.9993000922696,27203.216545034702
73,1897.01973247165,19398.64719200164
74,1897.0401647505714,13518.794943902423
75,1897.0605969290264,16372.116085148453
76,1897.0810293070099,23849.86650565399
77,1897.1014615845343,31570.368309744586
78,1897.1218937615922,38506.64812643172
79,1897.142326137713,44054.53391106996
80,1897.1627584133748,47519.87408378236
81,1897.1831905885701,48420.816003742664
82,1897.203622963294,48486.9032612829
83,1897.2240552375588,48512.273631341726
84,1897.244487411357,48619.73485853999
85,1897.2649197842184,48747.16091558672
86,1897.2853520566205,48834.359777359525
87,1897.305784328557,48924.59992319479
88,1897.3262166000204,48985.99526865342
89,1897.3466488710255,49050.39665341277
90,1897.3670812411,49140.48668928468
91,1897.3875134111659,49260.544987100315
92,1897.4079456803083,49301.15635228595
93,1897.428378048986,49340.09439014892
94,1897.448810217189,49343.48669801543
95,1897.4692424849345,49390.80144676399
96,1897.4896748517494,49444.37411546422
97,1897.5101071185563,49419.43977989465
98,1897.5305392844384,49432.26698187601
99,1897.5509716498564,49433.19935273853
100,1897.5714038147999,49406.526805865054
101,1897.5918360792857,49315.7178833763
102,1897.6122684433067,49305.17934794285
103,1897.6327006063875,49286.15972358326
104,1897.6531328694764,49291.39983517113
105,1897.6735652316347,49267.79105668527
106,1897.6939973933186,49283.90441459309
107,1897.7144296545448,49222.769712509886
108,1897.7348620148405,49192.54034776241
109,1897.7552941751273,49171.56478399105
110,1897.7757265344917,48949.86064044502
111,1897.7961587938553,48479.403848564456
112,1897.8165909522795,47790.171218855525
113,1897.8370233102469,47057.31127906801
114,1897.8574555672822,46330.56933210975
115,1897.8778878243102,45840.46182118604
116,1897.8983200804141,46010.0693413032
117,1897.9187523365108,46660.057779242285
118,1897.9391845916834,47333.750544048715
119,1897.9596168463904,48035.92319333639
120,1897.9800491006317,48611.4891928241
121,1898.0004813539344,48990.8574448165
122,1898.0209137072452,49127.266139414176
123,1898.0413458596158,49186.968032431076
124,1898.0617781119945,49206.39053948148
125,1898.0822104634426,49213.67676820888
126,1898.1026426144235,49184.20792985073
127,1898.1230748644666,49211.93800284325
128,1898.1435072145177,49228.48040722529
129,1898.1639393640944,49235.786292449215
130,1898.1843716127478,49316.209646643474
131,1898.2048039609363,49353.84180042421
132,1898.2252361086576,49372.74586949828
133,1898.2456684559074,49366.83141389988
134,1898.2661006026974,49300.230412797675
135,1898.2865328490152,49308.99137860998
136,1898.3069651944097,49235.900904262315
137,1898.327397339337,49203.14801292162
138,1898.3478295842651,49161.97677727602
